Domain,Num_Params,Param_Names,Param_Values,No.
https://winaz.it.com/?utm_source=spads&utm_medium=keonongang&utm_campaign=monie1&utm_term=nru&utm_content=content1&fbclid=IwdGRjcAOm1K1leHRuA2FlbQEwAGFkaWQBqztCXiLRW3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5sDuVGm4AqTmx7rH7zTSQMEXjL02JmmvY4WQN7deTsTkc8syw4G9u3rt63jw_aem_E2VQVCxkpnvS4ujraI-NUA&utm_id=120254969527320555,0,Error,"HTTPSConnectionPool(host='winaz.it.com', port=443): Max retries exceeded with url: /?utm_source=spads&utm_medium=keonongang&utm_campaign=monie1&utm_term=nru&utm_content=content1&fbclid=IwdGRjcAOm1K1leHRuA2FlbQEwAGFkaWQBqztCXiLRW3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5sDuVGm4AqTmx7rH7zTSQMEXjL02JmmvY4WQN7deTsTkc8syw4G9u3rt63jw_aem_E2VQVCxkpnvS4ujraI-NUA&utm_id=120254969527320555 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",29
https://lp.thegioitic88.biz/?a=five_c2719b75a2ab5edcab67d5d827d5b13a&utm_campaign=facebookads&utm_source=fred&utm_medium=conversion&utm_term=120234498437470625&utm_content=sport&fbclid=IwdGRjcAOm1MRleHRuA2FlbQEwAGFkaWQBqyijqfTDEXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5fQQ-ARrJmNrBwJUk0yLgoqWk_9M7pDXJHU_nQwM2wOX6ZrimJz90OlEc1dQ_aem_Wic8liF0haq62ALzl30V5w&utm_id=120234498430110625,0,Error,"HTTPSConnectionPool(host='lp.thegioitic88.biz', port=443): Max retries exceeded with url: /?a=five_c2719b75a2ab5edcab67d5d827d5b13a&utm_campaign=facebookads&utm_source=fred&utm_medium=conversion&utm_term=120234498437470625&utm_content=sport&fbclid=IwdGRjcAOm1MRleHRuA2FlbQEwAGFkaWQBqyijqfTDEXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5fQQ-ARrJmNrBwJUk0yLgoqWk_9M7pDXJHU_nQwM2wOX6ZrimJz90OlEc1dQ_aem_Wic8liF0haq62ALzl30V5w&utm_id=120234498430110625 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",30
fifaeuro.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm1NlleHRuA2FlbQEwAGFkaWQBqyubn8HAiXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6yg39djPnyEd_GKH5RuGqD909jaMRu9NpkEh5jNwOqs46AQBgOekPgqKhgeQ_aem_uGBpf1HU4dUcyDqGpspaAw, paid, fb, 120237060447550441, 120237762442630441, 120237472469350441, 120237060447550441",31
https://www.regbk8.com/vi-vn/register?affid=58502&fbclid=IwVERDUAOm1PhleHRuA2FlbQEwAGFkaWQBqyubn8HAiXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6yg39djPnyEd_GKH5RuGqD909jaMRu9NpkEh5jNwOqs46AQBgOekPgqKhgeQ_aem_uGBpf1HU4dUcyDqGpspaAw,0,Error,"HTTPSConnectionPool(host='www.regbk8.com', port=443): Max retries exceeded with url: /vi-vn/register?affid=58502&fbclid=IwVERDUAOm1PhleHRuA2FlbQEwAGFkaWQBqyubn8HAiXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6yg39djPnyEd_GKH5RuGqD909jaMRu9NpkEh5jNwOqs46AQBgOekPgqKhgeQ_aem_uGBpf1HU4dUcyDqGpspaAw (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",32
5j26802241-dge6g9bjaegqdzh0.a02.azurefd.net,8,"cid, fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","5656277, IwdGRjcAOm1RRleHRuA2FlbQEwAGFkaWQBqy4MWmR78nNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7u04gifcBTqKTsG0CqC7rZt1nM9hDTqKz59en5zK7WL6M9rSNknBkZVCVitw_aem_MKJeQKk2R5sxIO5gAeOCOg, paid, fb, 120240445636600130, 120240445636650130, 120240445636690130, 120240445636600130",33
https://dk.dabetvip.online/?a=42a8007c1df1d7e315c17e519edc0f69&utm_campaign=facebookads&utm_source=fbtoto&utm_medium=conversion&utm_content=bong&fbclid=IwdGRjcAOm1SNleHRuA2FlbQEwAGFkaWQBqysa07dROXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4CnEmzUZhLO9lUtC2WKksCYBp1ufkn6R6f9LBUE6EjrRnpQ6SToaOKINvm3g_aem_oCDb2HG9xdAN9Y6vmJ45Bg&utm_id=120237208906540633&utm_term=120237208906550633,0,Error,"HTTPSConnectionPool(host='dk.dabetvip.online', port=443): Max retries exceeded with url: /?a=42a8007c1df1d7e315c17e519edc0f69&utm_campaign=facebookads&utm_source=fbtoto&utm_medium=conversion&utm_content=bong&fbclid=IwdGRjcAOm1SNleHRuA2FlbQEwAGFkaWQBqysa07dROXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4CnEmzUZhLO9lUtC2WKksCYBp1ufkn6R6f9LBUE6EjrRnpQ6SToaOKINvm3g_aem_oCDb2HG9xdAN9Y6vmJ45Bg&utm_id=120237208906540633&utm_term=120237208906550633 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",34
dk.fc88a.live,8,"a, utm_campaign, utm_source, utm_medium, utm_content, fbclid, utm_id, utm_term","1907c64030bb2cb16f9096f2d91dcc98, facebookads, toto, conversion, bong, IwdGRjcAOm1UpleHRuA2FlbQEwAGFkaWQBqyk_phdBrnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4CnEmzUZhLO9lUtC2WKksCYBp1ufkn6R6f9LBUE6EjrRnpQ6SToaOKINvm3g_aem_K2nfnnXDWtY_SoTsSry0ww, 120234073488760574, 120234073654670574",35
https://sut88vip.org/?a=6aa0837ef9f1471e0a8ed2f8c405f51e&utm_campaign=facebookads&utm_source=inhouse-digital&utm_medium=paid-social&utm_term=120236948326160601&fbclid=IwdGRjcAOm1WdleHRuA2FlbQEwAGFkaWQBqyrqAbhROXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4IytnvktB0OmDi7DBPnxMkBaNy9ugZJ-94ciJORU7MIjpS1wvlPDwExEVceg_aem_QoqzGj-noPl0Q8UGXT0www&utm_id=120236948326150601&utm_content=120236948326160601,0,Error,"HTTPSConnectionPool(host='sut88vip.org', port=443): Max retries exceeded with url: /?a=6aa0837ef9f1471e0a8ed2f8c405f51e&utm_campaign=facebookads&utm_source=inhouse-digital&utm_medium=paid-social&utm_term=120236948326160601&fbclid=IwdGRjcAOm1WdleHRuA2FlbQEwAGFkaWQBqyrqAbhROXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4IytnvktB0OmDi7DBPnxMkBaNy9ugZJ-94ciJORU7MIjpS1wvlPDwExEVceg_aem_QoqzGj-noPl0Q8UGXT0www&utm_id=120236948326150601&utm_content=120236948326160601 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",36
https://ads.lode88g.net/?a=fb3dd13fe3ddc58c7c80b8e99d9c9bc0&utm_campaign=facebookads&utm_source=fbtoto&utm_medium=conversion&utm_term=event&utm_content=lode&referrer_domain=lode88g.net&fbclid=IwdGRjcAOm1ahleHRuA2FlbQEwAGFkaWQBqytZaybSxnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4IytnvktB0OmDi7DBPnxMkBaNy9ugZJ-94ciJORU7MIjpS1wvlPDwExEVceg_aem_jb6YS8QCgI-V_0RjWRbnzA&utm_id=120237477525390262,0,Error,"HTTPSConnectionPool(host='ads.lode88g.net', port=443): Max retries exceeded with url: /?a=fb3dd13fe3ddc58c7c80b8e99d9c9bc0&utm_campaign=facebookads&utm_source=fbtoto&utm_medium=conversion&utm_term=event&utm_content=lode&referrer_domain=lode88g.net&fbclid=IwdGRjcAOm1ahleHRuA2FlbQEwAGFkaWQBqytZaybSxnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4IytnvktB0OmDi7DBPnxMkBaNy9ugZJ-94ciJORU7MIjpS1wvlPDwExEVceg_aem_jb6YS8QCgI-V_0RjWRbnzA&utm_id=120237477525390262 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",37
www.mspfkn.com,6,"register, token, affiliateId, AffReferrer, AffCampaign, fbclid","true, WuGZrvGdFbUccWm97xklfmNd7ZgqdRLk, 8225, m.facebook.com, 1, IwVERDUAOm1dpleHRuA2FlbQEwAGFkaWQBqys3JVc_b3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4BpL5nT1bp96J_s_Pm1eqsonXYXSAeZxt7qCtNxj3SWzfqNXx1nfax1Czfbg_aem_Qu4j20xjghR3JzJLjYbKrQ",38
wb-soda111.online,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm1fFleHRuA2FlbQEwAGFkaWQAAAZAcRfpHnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4BpL5nT1bp96J_s_Pm1eqsonXYXSAeZxt7qCtNxj3SWzfqNXx1nfax1Czfbg_aem_-UjqHooCobLWnWXPE395xg, paid, fb, 6873843213014, 6873843876814, 6873843876614, 6873843213014",39
ad.vaodom8.online,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","131720d8e5f5a56ccfdf6283cd0c786f, facebookads, tudien, conversion, 120234801369270094, fanjack-202508, IwdGRjcAOm1htleHRuA2FlbQEwAGFkaWQBqyjqOPMwLnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5HeFCAu9rlMc8eZ8kHx2YE1aE8ZVxe93c-TG0ldIzmgBuobsvzYRZvm2SW1g_aem_WPaAZP95YI8py84fjHsHdQ, 120231103459660094",40
sv626.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm1jZleHRuA2FlbQEwAGFkaWQBqywd2dhhzHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5HeFCAu9rlMc8eZ8kHx2YE1aE8ZVxe93c-TG0ldIzmgBuobsvzYRZvm2SW1g_aem_yg_sgoF6X3pgXFo8nnSLXg, paid, fb, 120238306006930524, 120238321754540524, 120238306006950524, 120238306006930524",41
bj789.vip,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm1kpleHRuA2FlbQEwAGFkaWQAAAZQGafUiXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5SWvWbX17fmqNr3grutgduYtvDbtF1Ho-jjj5Qw1uT_pIbYr54R7-Kg3eVmg_aem_06VHrS2G05lV78E30-tNug, paid, fb, 6941096033857, 6941096034057, 6941096034257, 6941096033857",42
https://ga62.net/?fbclid=IwdGRjcAOm1m1leHRuA2FlbQEwAGFkaWQBqzQFWiiWinNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6cd-YRfNzBwlNEtDCh5KfBSD48GDv_7e8gsRURm4NlvW81TK8zglOymT3BUQ_aem_cq4973Oao6U0bN--RjixiA&utm_medium=paid&utm_source=fb&utm_id=120247008980100362&utm_content=120247008980120362&utm_term=120247008980110362&utm_campaign=120247008980100362,0,Error,"HTTPSConnectionPool(host='ga62.net', port=443): Max retries exceeded with url: /?fbclid=IwdGRjcAOm1m1leHRuA2FlbQEwAGFkaWQBqzQFWiiWinNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6cd-YRfNzBwlNEtDCh5KfBSD48GDv_7e8gsRURm4NlvW81TK8zglOymT3BUQ_aem_cq4973Oao6U0bN--RjixiA&utm_medium=paid&utm_source=fb&utm_id=120247008980100362&utm_content=120247008980120362&utm_term=120247008980110362&utm_campaign=120247008980100362 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ga62.net'. (_ssl.c:1077)"")))",43
dk.red88up.my,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","894b0ab03c597ba9269ef58327c48efe, facebookads, rio, conversion, 120239281678580626, sea33, IwdGRjcAOm1pdleHRuA2FlbQEwAGFkaWQBqyz9fK6GgnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7hrNXbOdg4HFNmjDMGMgyojkorYZsjRM0OrauVn498PwhryXc-tKy729eJLg_aem_oql0_VIxcXo9WG3swjDttg, 120239278524880626",44
qc.ve88vn.pro,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","exo_b44808d933bce93aa34a795cb418e53d, facebookads, fbdraven, conversion, 120236895774630304, bong, IwdGRjcAOm1rVleHRuA2FlbQEwAGFkaWQBqyrR2Hr8sHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7hrNXbOdg4HFNmjDMGMgyojkorYZsjRM0OrauVn498PwhryXc-tKy729eJLg_aem_j2oVmQQN-fMP8EFTxcFlwQ, 120236895774750304",45
qc.86b3t.club,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","a38e5a52ab6f06e2fe00822ba53cc4b9, facebookads, inhouse, install, 120236425551780046, taigame, IwdGRjcAOm1sdleHRuA2FlbQEwAGFkaWQBqypkXQXWvnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5uvpsuFwmZ4r9_go3raVxjLS8vKO-w-Z70Ma2myXxDApe1UkI2ppFudUF6WA_aem_qsvF1FfUjD0ovQ12-F-IbQ, 120236412664570046",46
quayfun.com,8,"ref_code, fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","7COTbW844J, IwdGRjcAOm1uZleHRuA2FlbQEwAGFkaWQBqy30ggreyXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6J3p6OIwvWqQwNV3zvhkn-ToUIgLLreajB254RJ82bSp3CecrJUv_pq4LU0Q_aem_3eYLKn97jRQEjOLOX08yew, paid, fb, 120239598348250729, 120240343133510729, 120239598348280729, 120239598348250729",47
https://ad.bongwi88.bet/?a=exo_5f6a0cdb0fafae11c1a2067400e4f292&utm_campaign=facebookads&utm_source=fbdraven&utm_medium=conversion&utm_term=120239925125690547&utm_content=bong&fbclid=IwdGRjcAOm1wtleHRuA2FlbQEwAGFkaWQBqy2TMiw1M3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6J3p6OIwvWqQwNV3zvhkn-ToUIgLLreajB254RJ82bSp3CecrJUv_pq4LU0Q_aem_9390IQzVZkdsDzcZZ7mg3g&utm_id=120239925125650547,0,Error,"HTTPSConnectionPool(host='ad.bongwi88.bet', port=443): Max retries exceeded with url: /?a=exo_5f6a0cdb0fafae11c1a2067400e4f292&utm_campaign=facebookads&utm_source=fbdraven&utm_medium=conversion&utm_term=120239925125690547&utm_content=bong&fbclid=IwdGRjcAOm1wtleHRuA2FlbQEwAGFkaWQBqy2TMiw1M3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6J3p6OIwvWqQwNV3zvhkn-ToUIgLLreajB254RJ82bSp3CecrJUv_pq4LU0Q_aem_9390IQzVZkdsDzcZZ7mg3g&utm_id=120239925125650547 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",48
km.sky88sport.site,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, utm_id, fbclid","1a28f470ed2d33068b0af7cb8bba39a3, facebookads, ben10, conversion, 120232902077050018, awo-naphoan, 120232902077030018, fbVERDUAOm1zpyWJ0",49
thomo66.vip,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm12dleHRuA2FlbQEwAGFkaWQAAAZLEjd3F3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4dWkZuCVTLBfGZV_VFpHOW5A9A5hfeIXTZXwvAiC6jxNP2mzKZugHg1IHy0A_aem_GerfCurU_n9NAmsUe5VR6g, paid, fb, 6919494458111, 6919494458511, 6919494458311, 6919494458111",50
ga235.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwZXh0bgNhZW0BMABhZGlkAasp7jOZT21zcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeGmHntEbGtasovWwjbpI3aLiGPhs_10uw2sB2NKpontzRlKqBNdxTFRt3sdk_aem_lemqYq93ufY_6dc90U_Jqw, paid, fb, 120235917395050733, 120235917395070733, 120235917395060733, 120235917395050733",51
divangelx.biz,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm2A5leHRuA2FlbQEwAGFkaWQBqyqmXDtVV3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7KwA5P1DVICK5X8pDgLMFLevMyXSytRYTPN08jlIjSNtI2jefo_s1x2EB5Hw_aem_AbNcMmrQoMZh9WYPpBYN7A, paid, fb, 120236702957570183, 120236702957580183, 120236702957560183, 120236702957570183",52
ok8386okvip.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm2FxleHRuA2FlbQEwAGFkaWQBqyt5KrVGonNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR59MYUcNFYQmvpGMYzh5WRxD3KtDBOO6T6dFxNF-ZyTDVVeFuGksZfdkTdJ_Q_aem_rxqGZzn9asTLv6KtwMTdDw, paid, fb, 120237581366020466, 120237614413160466, 120237614413130466, 120237581366020466",53
dg45.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm2IRleHRuA2FlbQEwAGFkaWQAAAZKbJEzo3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6T-gg21_zWCkkh9NWb1dTf4REjrE_e34SjX9BKMUw8SRtwMGL5FPz0cCW-ew_aem_wdZQPiG49OXqpvMMyUzeGQ, paid, fb, 6916715451027, 6916715450827, 6916715450627, 6916715451027",54
gak66.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm2JxleHRuA2FlbQEwAGFkaWQBqyvfMJtf_3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6G021JzZB4RnJZPlptwX4363HwbU8ROi2Jx-hmf1NAHsg9xZO4MR-nXGi8HA_aem_P51JLMc7dweQTaTXEbO1jg, paid, fb, 120237977207570511, 120238052505310511, 120238052505300511, 120237977207570511",55
ad.playsinvip88.click,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","354a2e22b310c1c4e66636e893de67eb, facebookads, pid, conversion, 120239931842870580, seagame33, IwdGRjcAOm2M9leHRuA2FlbQEwAGFkaWQBqy2UyXdUJHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6eeBDL-O0V0e5XDgREkGlaaCT2Jt6MJfzEX0NFvgDJC7yavfk_kY4VCq8Ssw_aem_u5weskw9j2wLuSQdbk4T2w, 120239928114340580",56
bj6868.vip,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm2O1leHRuA2FlbQEwAGFkaWQBqyysEqSyJnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7r8MZycySRWuBSOxgf0aGH77fGWghRg0gn1NNZohShJEQ_BFNogqoVkd5jGg_aem_zOuS_TFmJ-nlr371h_TcAQ, paid, fb, 120238929939580566, 120238929939570566, 120238929939590566, 120238929939580566",57
login.thethaobig88.autos,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","baa1caa6f3a034060fa80ce5526e67c8, facebookads, toto, conversion-120240533313400260, New Leads Ad Set, sport, IwdGRjcAOm2RRleHRuA2FlbQEwAGFkaWQBqy9QSmA8xHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4mmZAgRJk1NF8r0-S7d93qE32aIfVBhMnSSP1oSrQylYKBiGGvmQJzpQheAg_aem_8QDAr5gbRaSEpxf1MeEQcA, 120240533313390260",58
www.go8101.com,8,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign, fbPixelId","IwdGRjcAOm2U9leHRuA2FlbQEwAGFkaWQBqywMzCxg-nNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4mmZAgRJk1NF8r0-S7d93qE32aIfVBhMnSSP1oSrQylYKBiGGvmQJzpQheAg_aem__YsLMRl7UYk-UeFAtaky1A, paid, fb, 120238248358220282, 120238248358230282, 120238248358210282, 120238248358220282, 1865892844321208",59
cf-68.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm2YhleHRuA2FlbQEwAGFkaWQBqyxcZaFnrHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR48d-lR6C_vxd5yDiYwmacf5oX1uVjt1PmoKlvJk1e4lUngpJQo4XUakU1KCA_aem__Mz39zeUF3lXr6op_1gKVw, paid, fb, 120238590310370140, 120238590310380140, 120238590310390140, 120238590310370140",60
https://lk68.biz/?fbclid=IwdGRjcAOm2adleHRuA2FlbQEwAGFkaWQBqytGvczx6XNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4ckrMifqjbPd8AvGUgBmmNd1R9-Dg8uVaOf78rBtrb8MksgZvzIqN8v4NKaQ_aem_26ByXVW3azE-IE0U2TnRKw&utm_medium=paid&utm_source=fb&utm_id=120237397833130297&utm_content=120237397833140297&utm_term=120237397833110297&utm_campaign=120237397833130297,0,Error,"HTTPSConnectionPool(host='lk68.biz', port=443): Max retries exceeded with url: /?fbclid=IwdGRjcAOm2adleHRuA2FlbQEwAGFkaWQBqytGvczx6XNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4ckrMifqjbPd8AvGUgBmmNd1R9-Dg8uVaOf78rBtrb8MksgZvzIqN8v4NKaQ_aem_26ByXVW3azE-IE0U2TnRKw&utm_medium=paid&utm_source=fb&utm_id=120237397833130297&utm_content=120237397833140297&utm_term=120237397833110297&utm_campaign=120237397833130297 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",61
n188vn.cc,8,"cid, fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","3136621, IwdGRjcAOm22xleHRuA2FlbQEwAGFkaWQBqy0Lw5gFVnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4HayfkZuSUK17llHDV9EgtLFaM_cGC2kPyZXThq71iD433_NYhM82NuhFOUw_aem_7Ma7xsP4LUSQpZnnSWKexg, paid, fb, 120239342769640246, 120239342769660246, 120239342769680246, 120239342769640246",62
dangnhapbig88.sbs,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm2_1leHRuA2FlbQEwAGFkaWQBqyuULNOdIXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5D5DnGdRISG9UmpS3uzN0o_TB5nZAjhwTr4-uxPLhJIeKNi15ykFJOBQ2E-Q_aem_yqgvcHVRtJnvJPaadOgwoA, paid, fb, 120237730343710113, 120237730343720113, 120237730343700113, 120237730343710113",63
khuyenmai.so79.store,8,"a, utm_campaign, utm_source, utm_medium, utm_term, fbclid, utm_id, utm_content","278f9af62c1367e748b3a95c7810282a, facebookads, facebookads, paid-social, default, IwdGRjcAOm3SVleHRuA2FlbQEwAGFkaWQBqyjZGIYEPXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6QoqHFmXLm08C-5aJwVrFad0P-n4qDWu_iWXqZWQJlKCdZZ2qFD3CdL0-Qvg_aem_CCRdMNlSJftKisJ_R0ZJKA, 120234684723580477, 120234684723560477",64
